kroger_product,description,calories,protein,fat,carbohydrates
private selection® challah bread,"bread, egg, challah",287,9.5,6,47.8
kroger® frozen bread dough,"bread, dough, fried",384,9.36,18.84,44.97
"wonder bread dinner rolls, soft white bread rolls, 12 count",soft dinner breads rolls,310,9.52,7.14,52.4
canyon bakehouse honey whole grain gluten free english muffins fresh,"english muffins, whole grain white",1014.0000000000008,7.02,1.75,50.2
oroweat multigrain sandwich thins,"multigrain sandwich thins rolls, multigrain",263,10.5,3.51,49.1
schar - ciabatta multigrain,"multigrain ciabatta roll square, multigrain ciabatta",280,9,3,54
new york bakery frozen garlic breadsticks,"breadsticks, soft, frozen",313,11.09,9.16,46.37
new york bakery breadsticks with real garlic,"pizza hut, breadstick, parmesan garlic",1014.0000000000008,12.2,12.9,44.5
kroger® pull aparts 6 cheese & garlic breadsticks,pull apart garlic loaf with real cheese,364,10.9,16.4,41.8
kroger® garlic frozen texas toast,"kroger, garlic texas toast",360,6,20,38
king's hawaiian® savory butter dinner rolls,"king's hawaiian, savory butter rolls",357,10.7,8.93,57.1
king's hawaiian original hawaiian sweet dinner rolls party pack,"sweet hawaiian dinner rolls, sweet hawaiian",289,10.5,3.95,50
new york bakery garlic frozen texas toast,"new york bakery, texas toast",500,10,23.3,60
sister schubert's frozen dinner yeast rolls,"yeast dinner rolls, yeast",326,6.98,5.81,58.1
la brea bakery take & bake twin pack french baguette,"twin french organic take & bake baguettes, twin french",246,8.2,0.82,49.2
st pierre® sliced brioche loaf,"brioche sliced loaf, brioche",333,9.09,9.09,54.6
backerhaus veit signature multigrain loaf,"signature multigrain loaf, signature multigrain",286,10.7,6.25,46.4
la brea bakery take & bake french dinner rolls,"la brea bakery, telera rolls",282,9.41,1.76,55.3
wholesome harvest 9-grain & seed loaf,"wholesome harvest, 9 grain & seed loaf",281,8.77,6.14,47.4
impossible™ plant-based beef,"impossible beef made from plants ravioli, beef",250,12,6.48,34.3
beyond meat® beyond® breakfast sausage™ spicy plant-based patties,"spicy beyond breakfast sausage plant-based patties, spicy",310,19,20.7,10.3
beyond meat beyond chicken® plant-based breaded tenders,"original beyond chicken tenders plant-based breaded tenders, original",262,16.2,15,18.8
beyond meat® cookout classic™ plant-based burger patties,cookout classic plant-based burger patties,257,15.9,19.5,3.54
kroger® original breakfast sausage links,"sausage, turkey, breakfast links, mild, raw",728,15.9,10.4,3.18
kroger® chicken fries,"rice, fried, with chicken",173,7.28,3.66,27.62
hillshire farm ultra thin sliced black forest ham deli lunch meat,"uncured black forest ham ultra-thin deli slices, uncured black forest",107,16.1,3.57,1.79
boar's head tavern ham fresh sliced deli meat,"ham, prepackaged or deli, luncheon meat",101,16.7,3.73,0.27
beyond meat beyond steak® plant-based seared tips,"original beyond steak plant-based seared tips, original",193,23.9,6.82,7.95
land o' frost® premium old world style black forest ham lunch meat,"old world style black forest ham, old world style",120,16,4,2
hillshire farm ultra thin sliced honey ham sandwich meat,honey ham ultra thin sliced,125,16.1,2.68,8.93
oscar mayer deli fresh honey smoked deli turkey breast sliced lunch meat,"oscar mayer, deli fresh, blackened turkey breast",107,16.1,2.68,3.57
oscar mayer deli fresh oven roasted deli turkey breast sliced lunch meat,deli fresh oven roasted sliced lunch meat turkey breast,89,16.1,1.79,3.57
classic bologna sliced deli-style lunch meat,bryan deli classics bologna deli sliced lunch meat,329,11,29,6
oscar mayer deli fresh rotisserie seasoned chicken breast deli lunch meat,"chicken breast, deli, rotisserie seasoned, sliced, prepackaged",98,17.4,1.86,2.92
oscar mayer deli fresh uncured honey ham sliced deli meat,deli fresh honey sliced lunch meat uncured ham,125,21.4,2.68,3.57
hillshire farm ultra thin sliced oven roasted turkey breast sandwich meat,"oven roasted turkey breast ultra-thin deli slices, oven roasted",107,16.1,1.79,3.57
beyond meat beyond meatballs® italian style plant-based meatballs,"italian style beyond meatballs plant-based meatballs, italian style",240,15.7,17.4,7.44
kroger® mild italian ground sausage,"kroger, italian sausage, mild, mild",308,18,23.1,6.41
smithfield roasted garlic & herb pork loin filet,"pork loin filet, garlic & herb",107,17.9,2.23,1.79
unmeat meat-free chicken chunks 6.35 oz,"eurovafel eurocrem wafer, 6.35 oz",502,7,26,60
la herencia® carne asada boneless beef loin flap meat steak,"boneless beef loin flap meat steak for carne asada, boneless beef",152,16.1,8.93,1.79
buddig beef lunch meat 2oz,"pasta with sauce and meat, from school lunch",117,5.95,3.12,17.5
tyson frozen crispy chicken breast strips,"kfc, crispy chicken strips",274,20.2,15.4,13.7
kroger® crunchy butterfly shrimp,"crunchy butterfly shrimp, crunchy butterfly",306,10.6,14.1,22.4
beef choice cubed beef for stew,"stew, beef",107,8.76,5.07,6.29
simple truth™ natural lamb for stew meat,"stew, lamb",117,8.19,6.39,6.29
beyond meat stack burger™ plant-based patties,beyond burger plant-based patties,204,17.7,12.4,6.19
kroger® three meat crispy crust personal frozen pizza,"three meat crispy crust pizza, three meat",252,7.48,10.2,32
hillshire farm ultra thin sliced honey roasted turkey breast sandwich meat,hillshire farm sliced turkey breast,96.2,15.4,1.98,4.19
land o' frost® premium honey ham lunch meat,"cereal, o's, honey nut",385,8.62,5.37,52.74000000000001
oscar mayer carving board slow cooked sliced ham deli lunch meat,"oscar mayer, ham (chopped with natural juice)",754,16.3,11.2,3.65
oscar mayer cotto salami sliced lunch meat,"oscar mayer, cotto salami",250,14.3,21.4,3.57
oscar mayer deli fresh slow roasted roast beef sliced deli meat,"oscar mayer, slow roasted beef",107,17.9,3.57,1.79
oscar mayer thick cut bologna sliced lunch meat,"oscar mayer, thick cut bologna",302,11.6,25.6,4.65
oscar mayer carving board oven roasted deli turkey lunch meat,carving board oven roasted turkey breast,107,21.4,1.79,1.79
land o' frost premium honey smoked turkey breast lunch meat,"land o'frost, premium, hickory smoked turkey breast",180,16,10,6
oscar mayer deli fresh oven roasted turkey & smoked ham sliced deli lunch meats variety pack,"oscar mayer deli fresh oven roasted turkey breast and smoked uncured ham, 9 oz",107,17.9,1.79,3.57
buddig honey roasted turkey lunch meat 2oz,"turkey, whole, dark meat, meat and skin, cooked, roasted",206,27.3,9.95,0.07
buddig honey ham lunch meat 2oz,"buddig, original honey ham",164,16.4,9.09,3.64
hillshire farm® ultra thin sliced roast beef lunch meat,"roast beef ultra-thin deli slices, roast beef",143,19.6,6.25,1.79
hillshire farm ultra thin sliced smoked ham sandwich meat,"hillshire farm, smoked ham",167,17.9,9.52,2.38
oscar mayer sub kit with smoked ham & smoked turkey breast sliced deli lunch meats variety pack,"oscar mayer, ham & turkey breast sub kit, honey smoked, honey smoked",105,14,3.51,7.02
oscar mayer lean oven roasted white turkey sliced lunch meat,"oscar mayer, braunschweiger liver sausage (sliced)",1014.0000000000008,14.2,29.4,2.6
hillshire farm ultra thin sliced brown sugar ham sandwich meat,"hillshire farm, deli select, ultra thin brown sugar ham",107,16.1,2.68,5.36
hillshire farm ultra thin sliced black forest ham sandwich meat,ultra thin slices black forest ham,109,18.2,1.82,1.82
oscar mayer ham & cheese meat loaf sliced deli lunch meat with real kraft cheese,meat loaf made with ham,179,20.65,7.52,6.16
buddig black forest ham lunch meat 2oz,"buddig, black forest ham",164,16.4,9.09,1.82
oscar mayer™ carving board applewood smoked turkey breast lunch meat,"oscar mayer, applewood smoked bacon",500,27.8,32.1,5.56
beyond meat beyond breakfast original plant-based sausage links,"brat original beyond sausage plant-based links, brat original",250,21,15.8,6.58
oscar mayer hard salami sliced lunch meat,"oscar mayer, salami (hard)",368,25.9,28.7,1.6
oscar mayer turkey bologna sliced lunch meat with 50% lower fat,"oscar mayer, bologna (beef)",316,11,29.1,2.45
petit jean ez carve boneless hickory smoked ham lunch meat,hickory smoked boneless ham,107,16.7,2.98,3.57
boar’s head sweet b’s honey barbeque glazed chicken breast,"oscar mayer, chicken breast (honey glazed)",109,19.8,1.5,4.3
just bare® lightly breaded chicken breast italian style strips,"italian style lightly breaded chicken breast strips, italian style",179,19,8.33,8.33
boar’s head maple glazed honey coat ham,maple glazed honey coat  ham,107,17.9,1.79,5.36
boar’s head smokemaster beechwood smoked black forest ham,smokemaster beechwood smoked black forest ham,107,17.9,1.79,3.57
boar’s head hard salami,"boar's head, hard salami",393,21.4,32.1,3.57
boar's head branded deluxe ham,boar's head branded deluxe ham,107,16.1,1.79,3.57
boar’s head top round pastrami,top round pastrami,143,23.2,5.36,1.79
boar’s head genoa salami,"brunckhorst's boars head genoa salami, 4 oz",339,21.4,26.8,1.79
kevin's natural foods thai-style coconut chicken,pad thai with chicken,154,8.13,7.5,14.36
kroger® roast beef traditional deli thin sliced,"roast beef, deli style, prepackaged, sliced",115,18.6,3.69,0.64
curly's hickory smoked & seasoned baby back pork ribs with barbecue sauce,hickory smoked & seasoned with barbecue sauce baby back pork ribs,238,14.3,14.3,14.3
wild planet albacore wild tuna,"albacore wild tuna, albacore",230,23,13.3,0.88
"impossible™ indulgent burger patties meat from plants, 2 ct","burger patties made from plants, burger",204,16.8,11.5,7.96
boar’s head first cut corned beef brisket,"beef, cured, corned beef, brisket, cooked",1014.0000000000008,18.2,19,0.47
just bare® lightly breaded frozen fully cooked chicken breast strips,"chicken tenders or strips, breaded, from frozen",240,14.62,13.58,14.86
just bare® lightly breaded frozen fully cooked spicy chicken breast bites,"lightly breaded chicken breast spicy bites, lightly breaded",190,19,8.33,11.9
applegate all natural gluten-free frozen chicken nuggets,all natural gluten free chicken nuggets,194,18.8,9.41,8.24
simple truth organic® frozen breaded homestyle chicken tenders,"chicken tenders, breaded, frozen, prepared",1000,14.6,13.6,14.9
applegate all natural frozen chicken nuggets,"chicken nuggets, from frozen",298,13.36,19.23,17.88
applegate all natural frozen breaded chicken patties,"chicken patty, breaded",287,14.85,19.58,12.84
perdue® simply smart® organics gluten-free chicken tenders,"perdue, simply smart, lightly breaded chicken nuggets",212,14.1,11.8,11.8
armour lunchmakers pepperoni pizza meal kit with candy bar,"armour, lunchmakers, pizza, pepperoni, pepperoni",165,3.5,5,27.5
beef choice for stir fry,"stir-fry beef strips, stir-fry beef",143,23.8,3.57,1.19
private selection® top sirloin angus beef steak,"denny's, top sirloin steak",182,28.9,7.34,0.14
private selection™ angus beef boneless ribeye steak,boneless angus beef ribeye steak,212,19.5,14.2,0.88
eat meati® mushroomroot™ classic steaks,"t.g.i. friday's, classic sirloin steak (10 oz)",196,31,7.83,0.47
eat meati™ classic cutlet,"cereal, ready-to-eat, nfs",379,7.74,4.01,52.74000000000001
yummy® meatless plant-based dino buddies® dinosaur-shaped vegan nuggets,"meatless breaded dinosaur-shaped plant-based protein nuggets, meatless",244,10.3,11.5,24.4
quorn™ meatless diced chiqin pieces,meatless chiqin wings,241,14.3,9.82,25
simple truth organic™ 100% grass-fed beef homestyle frozen meatballs,"organic grass fed beef meatballs, beef",247,16.5,16.5,7.06
quorn™ meatless grounds frozen meal,"pancakes and sausage, frozen meal",272,9,13.85,27.92
dr. praeger’s® meatless perfect burger®,"dr. praeger's, italian veggie burgers",167,5.13,7.69,19.2
quorn™ meatless nuggets,"bacon, meatless",1014.0000000000008,11.7,29.5,5.31
gardein® ultimate plant-based® meatalls,ultimate plant-based burger,186,17.7,9.73,6.19
simple truth organic™ grass-fed beef italian style frozen meatballs,"meatballs, frozen, italian style",286,14.4,22.2,8.06
private selection® oven roasted deli turkey breast sliced,"oven roasted deli selected turkey breast, oven roasted",89,16.1,1.79,3.57
private selection® wildflower honey deli ham sliced,"wildflower honey deli sliced ham, wildflower honey",136,18.6,4.24,6.78
private selection® wildflower honey deli turkey breast sliced,"wildflower honey deli sliced turkey breast, wildflower honey",102,18.6,0.85,5.08
private selection® prosciutto & mozzarella rolls,"prosciutto & mozzarella rolls, prosciutto & mozzarella",214,26.8,12.5,1.79
private selection® mesquite smoked deli turkey breast sliced,"mesquite smoked turkey breast deli slices, mesquite smoked",107,17.9,1.79,3.57
private selection® genoa salami deli sliced,"deli sliced genoa salami, deli",368,17.5,31.6,3.51
private selection® angus top round deli roast beef sliced,sliced angus seasoned roast beef top round,161,23.2,5.36,1.79
private selection® hard salami deli sliced,"hard salami deli slices, hard",400,20,32.1,3.33
private selection® brown sugar uncured deli ham sliced,"brown sugar sliced uncured ham, brown sugar",125,17.9,4.46,7.14
boar's head pepperoni,"boar's head, sandwich style pepperoni",464,21.4,32.1,3.57
private selection™ old world prosciutto,old world deli selection,321,25,25,3.57
private selection® pre-sliced genoa salami & provolone rolls,"uncured genoa salami & provolone cheese charcuterie rolls, uncured genoa salami & provolone cheese",353,23.5,26.5,2.94
private selection® cracked pepper deli turkey breast sliced,"cracked pepper deli sliced turkey breast, cracked pepper",102,17,0.85,3.39
columbus® sliced salame charcuterie trio,"columbus, peppered salame",321,21.4,25,7.14
private selection® pepperoni & mozzarella rolls,"pepperoni and mozzarella roll, pepperoni and mozzarella",298,26.3,21,1.75
morningstar farms® veggie breakfast original plant based sausage links,morningstar farms breakfast veggie sausage links 136oz 1ct,152,19.2,6.1,6.8
columbus® sliced italian dry salame,"columbus, lite italian dry salame",214,28.6,10.7,3.57
morningstar farms® veggie breakfast original plant based bacon strips,morningstar farms breakfast bacon 5.25oz,344,12.8,26.4,14.4
private selection® smokehouse tavern style off the bone deli ham sliced,"smokehouse deli sliced off the bone ham, smokehouse",119,17,4.24,1.69
morningstar farms® original plant based chik'n patties,plant-based crispy chik'n patties,225,14.1,9.86,21.1
morningstar farms® meal starters grillers plant based vegan crumbles,"morningstar farms veggie meal starters veggie grillers crumbles, 12 oz",115,17.3,3.85,7.69
morningstar farms® buffalo plant based chik'n patties,"plant-based buffalo chik'n pizza, buffalo chik'n",294,7.06,14.1,33.5
morningstar farms® veggie breakfast maple flavored plant based sausage patties,morningstar farms breakfast sausage patties,187,23.7,7,10.2
private selection® beef bologna uncured deli sliced,"bologna, beef",1014.0000000000008,10.9,26.1,4.29
morningstar farms® veggie breakfast hot and spicy plant based sausage patties,morningstar farms breakfast hot & spicy sausage patties 8oz,222,25.6,9.3,11.9
morningstar farms® spicy black bean plant based veggie burgers,morningstar farms veggie burgers spicy black bean 18.9oz,179,13.5,6.5,22.1
morningstar farms® grillers prime plant based veggie burgers,morningstar farms veggie burgers grillers prime,197,23,9.6,8.6
morningstar farms® grillers original plant based veggie burgers,morningstar farms veggie burgers grillers 18oz,213,23.9,9.3,8.5
private selection® bold & spicy pepperoni cracker cut,cracker cut  pepperoni,100,3.57,9.29,0.71
morningstar farms® garden veggie plant based veggie burgers,morningstar farms veggie burgers garden veggie 56oz,174,16.4,6.3,15.5
gardein ultimate plant-based chick'n tenders frozen vegan food,ultimate plant-based chick'n tenders,228,14.8,9.9,18.8
morningstar farms® original value pack plant based chik'n nuggets,"chik'n plant-based nuggets, chik'n",300,13.8,15,26.2
gardein ultimate plant-based chick'n filets,ultimate plant-based chick'n filets,218,15.5,9.15,19
impossible™ plant-based spicy chicken patties,"spicy enchilada bowl with impossible chicken made from plants, spicy enchilada with impossible chicken",133,4.31,4.71,19.2
gardein vegan frozen seven grain crispy plant-based chick'n tenders,"seven grain plant-based chick'n breaded with wholesome grains including oats, quinoa, and millet crispy tenders, seven grain",195,13,9.09,14.3
gardein ultimate plant-based ground be’f crumbles,"ground be'f ultimate plant-based crumbles, ground be'f",247,24.7,15,4.3
simple truth™ plant-based chorizo,"plant-based ""chorizo""",165,17.6,7.06,7.06
impossible™ wild nuggies™ plant-based chicken nuggets,plant-based chicken nuggets,238,17.5,11.2,18.8
boca all american veggie burgers,all american veggie burgers,212,24.8,9.73,6.19
gardein ultimate plant-based chick'n nuggets frozen vegan food,"ultimate plant-based chick'n nuggets, ultimate",202,14.9,8.51,17
gardein ultimate plant-based chick'n strips,"original ultimate plant-based chick'n strips, original",183,20.7,7.32,3.66
morningstar farms® original plant based veggie dogs,morningstar farms hot dogs veggie dogs 8.4oz,144,22,1.6,12.4
morningstar farms® sweet bbq plant based sauced riblets,morningstar farms meal solutions hickory bbq riblet 10oz,150,11.4,2.3,24.6
nasoya plantspired® plant-based korean bbq flavored steak,"korean bbq flavor plantspired plant-based steak, korean bbq",235,16.5,11.8,15.3
gardein® ultimate plant-based buffalo chick'n wings,"buffalo ultimate plant-based chick'n wings, buffalo",193,12.1,9.29,15
gardein ultimate plant-based crispy breaded fish,"breaded plant-based fish fillets, breaded",177,10.6,9.73,12.4
morningstar farms® incogmeato homestyle plant based chik'n tenders,"chik'n plant-based tenders, chik'n",256,18.9,10,24.4
morningstar farms® incogmeato original plant based pancake and sausage on a stick,plant-based pancake & sausage on a stick,203,13,3.62,30.4
gardein ultimate plant-based vegan bbq chick'n wings,"bbq ultimate plant-based chick'n wings, bbq",200,12.1,6.43,23.6
konscious™ plant based california roll,"sushi roll, california",94,2.92,0.67,18.39
morningstar farms® pringles original flavor plant based chik'n fries,pringles original flavored plant-based chik'n fries,250,13.8,12.5,23.8
morningstar farms® incogmeato hot and spicy plant based chik'n filets,"sizzlin' spicy chik'n plant-based patties, sizzlin' spicy chik'n",197,14.1,6.34,22.5
columbus calabrese salame,"calabrese salame, calabrese",312,20.8,20.8,6.25
simulate spicy nuggs plant-based nuggets,"spicy chicken nuggs plant-based nuggets, spicy chicken",247,15.3,11.8,18.8
simple houseware vacuum sealer bags 3-pack,"sweet potato, canned, vacuum pack",382,1.65,0.2,21.1
kroger® hickory smoked bacon wrapped tenderloin filet,"hickory smoked bacon wrapped pork filet, hickory smoked",188,18.2,11.8,2.35
kroger® peppered bacon wrapped beef tenderloin filet,"peppered bacon wrapped beef tenderloin filet, peppered bacon",229,19.4,16.5,0.59
marcangelo montreal spice bacon beef skewers,bacon and beef sticks,517,29.1,32.1,0.8
beef choice back ribs,"beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, choice, raw",336,15.8,29.9,0.9
private selection® natural angus beef brisket with salt & pepper,"angus beef brisket, angus beef",157,26.5,4.9,0.98
sanderson farms chicken tenderloins,"sanderson farms, fresh chicken livers",116,17,4.46,0.89
bacon wrapped bbq seasoned chicken grillers,"bacon-wrapped bbq seasoned chicken grillers, bacon-wrapped",298,24.6,17.5,5.26
sanderson farms® whole cut up chicken with giblets,"turkey, whole, giblets, raw",518,18.2,5.09,0.07
just bare® lightly breaded chicken breasts,"chicken breast tenders, breaded, uncooked",263,14.7,15.8,15
ukrop's™ blackened grilled chicken breast,"blackened grilled chicken breast - bulk, blackened grilled chicken",189,31.6,4.74,3.16
ukrop's™ seasoned grilled chicken breast,"chicken breast, grilled with sauce, skin eaten",202,21.15,9.15,7.34
sanderson farms boneless skinless thin-sliced fresh chicken breast,"fresh, thin sliced, boneless skinless chicken breasts",102,23.7,0.7,0.3
perdue® short cuts® grilled fajita style chicken breast strips,"fajita style grilled chicken breast strips, fajita style",119,21.4,2.38,1.19
home chef hot savory whole chicken (available 11am-7pm daily),"gravy, heinz home style, savory beef",165,1.09,1.13,6.24
kroger® grilled chicken breast dices,"grilled diced chicken breast, grilled",131,23.8,2.98,2.38
perdue fun shaped frozen fully cooked chicken breast space nuggets,space shaped chicken nuggets,200,18.8,9.41,9.41
howard county frozen chicken wings,"chicken, wing, frozen, glazed, barbecue flavored",211,19.7,12.7,3.34
hot ones™ original buffalo style hot sauce boneless chicken bites,"hot buffalo style boneless wyngz, hot buffalo",174,12,8.7,13
john soules foods hot honey bbq chicken bites - glazed in bbq sauce made with mike’s hot honey,"honey bbq glazed boneless chicken bites, honey bbq glazed",190,13.1,7.14,17.9
perdue refrigerated fully cooked breaded chicken breast cutlets,"advancepierre fully cooked breaded chicken breast cutlets, 2.4 oz.",264,14.1,16.1,15.8
home chef hot garlic & herb whole chicken (available 11am-7pm daily),"daily chef, herb roasted & sliced turkey breast",107,19.6,1.79,1.79
heritage farm® chicken livers,"liver, chicken",189,20.02,8.69,6.48
perdue® short cuts® grilled white meat chicken strips,"perdue short cuts grilled chicken family size, 16 oz",119,23.8,2.38,1.19
home chef cold garlic & herb whole chicken,"soup, stock, chicken, home-prepared",36,2.52,1.2,3.53
home chef honey citrus garlic fresh roasted chicken,"potato, home fries, from fresh",185,1.96,11.52,18.76
perdue® short cuts® roasted chicken strips,"perdue, short cuts, carved chicken breast, honey roasted, honey roasted",127,23.9,2.82,2.82
home chef heat and eat lemon basil grilled chicken and roasted potatoes,"potato, home fries, ready-to-heat",197,1.92,13.03,18.4
home chef heat and eat grilled chicken with bbq sauce and mashed potatoes,"potatoes, mashed, ready-to-eat",106,1.97,5.01,13.3
marcangelo fresh chicken chili lime skewer,chili with chicken,100,14.11,3.71,2.41
perdue® short cuts® southwestern style chicken strips,"southwestern-style chicken breast strips, southwestern-style chicken",118,20,2.94,2.35
kroger® plain chicken pouch,"chicken ""wings"", plain, from precooked",294,18.62,20.59,7.15
home chef pulled chicken breast,pulled chicken breast,131,22.6,4.17,1.19
tyson frozen chicken patties,"chicken patty, frozen, cooked",287,14.8,19.6,12.8
tyson restaurant style caribbean style crispy wings,"restaurant, family style, coleslaw",159,0.88,11.8,12.4
just bare® lightly breaded frozen fully cooked chicken breast bites,"chicken breast tenders, breaded, cooked, microwaved",1014.0000000000008,16.4,12.9,17.6
tyson any'tizers frozen crispy chicken fries,"chicken, fried, with potatoes, vegetable, frozen meal",157,10.26,8.13,10.63
yummy dino buddies frozen fully cooked dinosaur shaped chicken breast nuggets,dino buddies chicken breast nuggets,224,10.5,11.8,19.7
tyson any’tizers frozen crispy boneless chicken bites,"chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",175,10.68,8.1,16
tyson® fully cooked honey battered chicken breast tenders,"honey-battered chicken breast tenders, honey-battered",247,11.8,15.3,14.1
tyson any'tizers frozen sweet bbq flavored boneless chicken bites,"bbq flavored boneless chicken bites, bbq",120,16.2,4.23,9.15
kroger® fully cooked frozen grilled chicken breast strips,"grilled fully cooked chicken breast strips, grilled chicken",131,25,1.79,2.38
kroger® breaded chicken nuggets,"school lunch, chicken nuggets, whole grain breaded",1014.0000000000008,15.7,12.9,22.9
kroger® popcorn chicken,"kfc, popcorn chicken",1014.0000000000008,17.7,21.7,21.2
tyson® any'tizers® buffalo style boneless chicken bites,"buffalo style boneless chicken bites, buffalo style",167,11.9,7.14,13.1
tyson® fully cooked southern style chicken breast tenderloins,"southern style chicken breast tenderloins, southern style",214,15.5,10.7,14.3
Product_1,Description_1,89,15.35,3.58,33.6
Product_2,Description_2,154,5.58,0.56,2.88
Product_3,Description_3,117,4.92,10.32,28.74
Product_4,Description_4,317,13.3,9.56,31.87
Product_5,Description_5,450,3.94,10.4,5.17
Product_6,Description_6,261,11.43,12.4,37.52
Product_7,Description_7,402,15.84,9.82,9.98
Product_8,Description_8,286,10.18,14.24,32.59
Product_9,Description_9,362,15.13,6.91,19.69
Product_10,Description_10,180,9.11,11.5,31.57
Product_11,Description_11,127,19.4,6.09,5.6
Product_12,Description_12,366,18.3,2.08,30.57
Product_13,Description_13,301,17.84,12.56,7.68
Product_14,Description_14,489,15.77,12,16.96
Product_15,Description_15,384,9.26,11.1,22.56
Product_16,Description_16,487,3.16,2.14,19.58
Product_17,Description_17,318,19.84,11.45,13.47
Product_18,Description_18,193,8.57,4.18,19.14
Product_19,Description_19,139,17.32,11.43,3.4
Product_20,Description_20,118,11.35,0.39,28.04
Product_21,Description_21,477,8.27,3.73,18.69
Product_22,Description_22,408,10.29,6.29,29.31
Product_23,Description_23,297,13.71,7.88,27.86
Product_24,Description_24,110,8.76,4,3.05
Product_25,Description_25,413,19.75,2.03,16.53
Product_26,Description_26,277,1.4,8.23,43.71
Product_27,Description_27,408,9.43,4.78,27.78
Product_28,Description_28,162,7.04,1.03,40.62
Product_29,Description_29,99,5.94,8.77,36.16
Product_30,Description_30,295,2.56,14.3,38.19
Product_31,Description_31,122,2.91,13.28,9.78
Product_32,Description_32,333,5.04,0.03,12.79
Product_33,Description_33,161,13.51,7.44,27.41
Product_34,Description_34,467,19.74,10.68,43.72
Product_35,Description_35,420,2.82,12.87,49.65
Product_36,Description_36,439,2.51,11.04,26.51
Product_37,Description_37,426,11.65,1.7,35.73
Product_38,Description_38,321,12.04,8.81,48.57
Product_39,Description_39,241,8.53,3.64,7.12
Product_40,Description_40,134,12.93,12.8,13.37
Product_41,Description_41,381,2.61,0.14,22.8
Product_42,Description_42,337,6.68,12.14,21.4
Product_43,Description_43,99,10.14,11.39,9.03
Product_44,Description_44,420,18.46,0.12,31.31
Product_45,Description_45,212,7.14,3.97,21.82
Product_46,Description_46,164,14.19,0.29,39.29
Product_47,Description_47,93,11.51,4.63,10.82
Product_48,Description_48,358,2.42,5.8,33.21
Product_49,Description_49,112,14.89,0.39,44.79
Product_50,Description_50,149,9.4,14.99,10.44
Product_51,Description_51,307,9.95,7.88,18.24
Product_52,Description_52,153,4.92,10.34,34.66
Product_53,Description_53,63,10.22,11.14,49.22
Product_54,Description_54,252,4.02,10.69,44.71
Product_55,Description_55,310,2.22,6.42,21.03
Product_56,Description_56,196,5.47,11.34,43.64
Product_57,Description_57,82,17.57,5.67,21.08
Product_58,Description_58,351,5.39,5.28,24.88
Product_59,Description_59,419,14.06,6.83,5.86
Product_60,Description_60,305,3.02,0.2,24.65
Product_61,Description_61,216,14.14,6.04,34.04
Product_62,Description_62,191,9.68,6.18,46.32
Product_63,Description_63,223,14.75,8.6,1.29
Product_64,Description_64,84,12.64,9,40.78
Product_65,Description_65,438,18.14,6.18,44.61
Product_66,Description_66,307,16.08,6.17,20.69
Product_67,Description_67,298,7.83,8.4,30.27
Product_68,Description_68,140,15.98,5.37,42.52
Product_69,Description_69,423,9.36,2.87,42.53
Product_70,Description_70,336,9.11,1.77,21.46
Product_71,Description_71,53,4.1,11.13,30.17
Product_72,Description_72,382,7.6,3.14,48.87
Product_73,Description_73,226,19.8,5,9.9
Product_74,Description_74,451,13.53,0.96,39.23
Product_75,Description_75,127,17.54,9.2,3.33
Product_76,Description_76,294,12.13,4.45,3.59
Product_77,Description_77,492,3.27,5.94,17.73
Product_78,Description_78,365,18.66,4.55,43.47
Product_79,Description_79,399,9.29,4.99,10.66
Product_80,Description_80,464,16.12,4.64,21.75
Product_81,Description_81,118,11.54,1.69,41.05
Product_82,Description_82,86,17.32,9.19,24.44
Product_83,Description_83,180,13.09,4.02,30.09
Product_84,Description_84,232,3.35,4.86,16.5
Product_85,Description_85,97,12.64,7.66,44.64
Product_86,Description_86,135,10.12,7.45,48.05
Product_87,Description_87,316,18.52,7.51,33.97
Product_88,Description_88,425,13.25,0.16,19.17
Product_89,Description_89,284,19.56,0.07,10.9
Product_90,Description_90,176,16.68,0.16,40.42
Product_91,Description_91,274,13.55,12.3,7.17
Product_92,Description_92,455,7.6,11.33,29.99
Product_93,Description_93,229,1.3,0.3,18.45
Product_94,Description_94,341,8.87,8.71,34.63
Product_95,Description_95,402,2.46,12.29,34.83
Product_96,Description_96,343,13.28,5.48,19.25
Product_97,Description_97,367,6.79,13.51,19.22
Product_98,Description_98,297,6.84,2.85,37.69
Product_99,Description_99,291,12.96,0.75,6.1
Product_100,Description_100,97,14.81,0.83,20.56
Product_101,Description_101,225,13.15,8.24,46.85
Product_102,Description_102,320,10.02,6.54,2.42
Product_103,Description_103,270,10.13,5.44,30.05
Product_104,Description_104,470,5.46,8.89,11.29
Product_105,Description_105,488,15.93,3.52,47.16
Product_106,Description_106,225,7.06,4.92,42.06
Product_107,Description_107,229,2.22,10.93,36.29
Product_108,Description_108,77,18.22,7.73,44.04
Product_109,Description_109,346,14.05,10.05,17.48
Product_110,Description_110,466,13.06,0.39,15.24
Product_111,Description_111,499,8.22,14.11,19.56
Product_112,Description_112,445,10.74,11.06,20.99
Product_113,Description_113,381,15.37,9.88,16.35
Product_114,Description_114,137,18.74,6.56,22.39
Product_115,Description_115,445,14.59,12.84,43.35
Product_116,Description_116,241,3.85,7.77,45.17
